"Notes_RegSheet","n"
"340 ft well",1
"35 ft well",1
"35 ft well depth",4
"350+ ft well",1
"36 ft well",1
"360 ft well",1
"365 ft well",1
"37 ft well depth",1
"379 ft well",1
"38 ft well",2
"38' well",1
"380 ft well",2
"380 ft well. And particulate treatment",1
"390 ft well",2
"390 ft well depth",1
"390 ft well. New Septic System",1
"390 ft well. No house (or septic) yet. Wants info on how to seal inactive well",1
"399 ft well",1
"4 dogs losted as livestock",1
"40 ft well",4
"40 ft well depth",2
"40 ft well depth
location of well written as 48.736/45 and 37.153/107",1
"40 ft well. Last tested 2013.",1
"40 ft well; Next to primary drinking source? Says ""but use bottled water mostly""

Next to septic, says ""pump yearly"" and ""replaced drain field last year""",1
"400 ft well",4
"401 ft well",1
"403 ft well",1
"406-544-7973 also his phone number",1
"406-595-4718 also provided as a phone number",2
"406-749-4719 also given as phone number",1
"406-78-0241 for calls",1
"406-839-1088 also given as a phone number",1
"40ft well",1
"40ft well depth",1
"40ft well depth; 8S 20E section 8",1
"41 ft well. Used Google Maps for coordinates.",1
"42 ft well depth
method for coordination GWIC checked and 10/6/20 written
sample treated before testing both do not have a treatment system and sample is untreated checked",1
"42 ft well. 2 horses",1
"42.5 ft well",1
"420 ft well",1
"425 ft well",1
"43 ft well",1
"43 ft well depth",1
"430 ft depth of well
additional phone number provided 406-761-3588
location of well written as 47, 44933 32.5833, could not coordinate so marked 0",1
"430 ft well",1
"435 ft well",1
"44 ft well",1
"440 ft well depth",1
"45 ft well",1
"450 ft well depth",1
"46 ft well",1
"470 ft well",1
"470 ft well (perforated). Also uses filter for particulates",1
"48 ft well",1
"48 miles SW of Chester, MT; potholes in drainage area",1
"480 ft well depth",1
"48ft depth",1
"50 cow part time",1
"50 ft well",4
"50 ft well depth; township 2S section 19 range 6E",1
"50 ft well. Geocode: 06079836311040000",1
"50 ft well. New septic",1
"50 livestock on neighboring property",1
"500 ft well",2
"500-1000 livestockwell approx. 300 ft",1
"51 ft well",1
"51 ft well. No septic yet; Well is Brand New; Septic not installed yet",1
"513 ft well",1
"52 ft well",2
"526 ft well",1
"530 ft well",1
"540 ft well",1
"55 ft well",3
"56 ft well",1
"56 ft well. Last tested 2015.",1
"58 ft well",1
"595-4718 also listed as phone number",1
"6 - 200 animals/yr",1
"6 ft well",1
"60 ft well",7
"60 ft well .Wrote ""varies"" for livestock #",1
"60 ft well depth",1
"60 ft well. Treatment: RO (not sample)",1
"60 ft well. Treats with RO (presumably the sample is untreated)",1
"60 ft well; second email:brenda.serrano@montana.edu",1
"600 ft well",2
"600 ft well; county discrepency",1
"63 ft well",1
"630' well",1
"65 ft well",4
"65 ft well. Addl treatment: water softener, particulate",1
"65 ft well. Lasted tested 2013.",1
"65 ft well; water primary use also outdoor toilet",1
"658 ft well",1
"67 ft well depth",1
"69' well",1
"70 ft well",4
"70 ft well depth",1
"70 ft well. Last tested 2014.",1
"700 ft well",1
"700 ft well; country discrepency",1
"74 ft well; home is on water softener, with exception of kitchen and refrigerator. Drink most water from kitchen or fridge. Sample taken from fridge. House was built in 1974",1
"75 ft well",2
"75 ft well depth",1
"750 ft well; septic pumped bi-annually",1
"75ft well depth",1
"76 ft well",1
"77 ft well. Last tested 2007. County Descrepency",1
"780 ft well",2
"799-4226; letter attached",1
"80 ft well",10
"80 ft well. Particulate and carbon treated as well",1
"80 ft well. Spain Bridge Meadows W&S District",1
"80 ft well; well is monitored by montana tech monthly",1
"81 ft well",1
"81ft well depth",1
"82 ft deep well",1
"82 ft well",1
"83 ft well depth",1
"85 ft well",1
"850 ft well",1
"855-5403 also given as a phone number
Land use is also other-commercial",1
"855-5403 also given as phone number
Land use is also other-commercial",1
"865 ft well",1
"87 ft well",1
"871 ft well but also says not sure",1
"89 ft well.",1
"90 ft depth",1
"90 ft well",4
"90 ft well depth",1
"92 ft deep well",1
"93 ft well",1
"96 ft well",2
"A second phone number is provided: 406-320-0155",1
"AA) 2018",1
"AA) 2019",3
"AA) 2021",1
"AA) 2022",1
"AA) 5/24/22",1
"AA) ?",1
"AA) Noted: 2005",1
"AA) Noted: 2008
BB) Noted: 44 yrs",1
"AA) Noted: 2012",1
"AA) Noted: 2016",1
"AA) Noted: 2017",1
"AA) Noted: 2018",1
"AA) Noted: 2020",2
"AA) Noted: 2020
Bellow Testing Cost Box:
Melvin Weigum
11220 Front St
Manhattan, MT 59741",1
"AA) Noted: 2020
Below Testing Cost Box: Noted mailing address",1
"AA) Noted: 2020
X) Noted: UV",1
"AA) Noted: 2021",2
"AA) Noted: 2022",2
"AA) Noted: 2023",1
"AA) Noted: ??",1
"AA) Noted: Don’t what this is?",1
"AA) Noted: July 2022",1
"AA) Noted: New Well
BB) Noted: New Well
FF) Noted: New",1
"AA) Noted: don't know maybe 1997 or 1998",1
"AA) Noted:(IDK what you mean by folders)",1
"AA) Think so. 2006 (?)",1
"AA) Water quality tested in MT Well Educated program before in the year 2018.",1
"AA) Well tested in year 2018.",1
"AA) Wrote '?' by No",1
"AA) Year: 2017",2
"AA) Yes, in the year 2015, approximately",1
"AA) Yes, in the year 2016.",1
"AA) Yes, in the year 2018.",1
"AA) in ""if yes, what year"" section on the registration form, ""By your lab in late 1990's is written.",1
"AA) in the year 2011",1
"AA) the year 2000.",1
"AA) year 2013",1
"AA) yes, in the year 2015 205 ft well",1
"Above First and Last name they wrote (Riceland Properties). For livestock there are a 1000 Head.",1
"Additional sample description - ""non-mixing, non-swivel, non-leaking"". Not sure if water is treated. Last tested in 2010. ""Have read all the material. Well head is too low to ground - top is 4"" above ground""",1
"Addtl Treatment: Particulate and Carbon",1
"All words written in all caps on registration form, including email.",1
"Also entered 'recreational' under 'other' for part Q
Entered '20-30 - seasonal' for part R
Also entered 'other' for part U",1
"Also marked 'other' on part U",1
"Also marked 'particulate' for part X",1
"Also treat w/ particulate",1
"Also treat w/ particulate.",1
"Also treated with RO and carbon
new septic",1
"Also treated with carbon",2
"Also treated with carbon and UV.",1
"Also treated with particulate",1
"Also treated with particulate
26 ft well",1
"Also treated with particulate, RO, carbon",1
"Also treated with particulate.",1
"Also treated with water softener",1
"Also treats with ""nuvi""…possibly nuvo water softener",1
"Also treats with particulate",1
"Also uses well water for ""other""; septic is not existing at present",1
"Alt Phone # Listed: 616-581-1304",1
"Alternative phone number: 406-351-9166.",1
"An additional registration sheet is included in the folder for Oren Ford, but was only for a bacteria resample",1
"An alternatate phone nu,ber is: 406-981-1313. Individual lives with 4 dogs.",1
"And RO",2
"And RO treatment",1
"And particulate, carbon, and alumina treatment. Last tested 2016.",2
"And standard sediment filter; would like to drink the water",1
"Another phone number was recorded for ""Jeff"": 406-369-5737. Another email: jeff@exitrealitybv.com . Individual uses their land for part-time horses recreation. Water source is a ""natural spings"". Individual also noted ""due dilligence of estate""",1
"Approximate age of well: 62 yrs",1
"BB) AgeOfHome: ""15-30"" box also checked",1
"BB) AgeOfHome: ""spring-fed cystern (2006)"" written in box",1
"BB) Client wrote Home = 25 years (1994) Well = 2014 next to the question on the registration sheet. 180 ft well",1
"BB) Note: Spring
CC) Note: Spring
SOURCE IS NOT A WELL, but this is not stated on the registration form.",1
"BB) Noted: Not Sure",1
"BB) Noted: Old Well/ Two wells (other new well a few days old)",1
"BB) Noted: drilled 2001",1
"BB) home written next to ""moer than 30 years"" box.",1
"Bacteria replacement sample",1
"Below Test Cost Box: Due to lab error, No charge for analysis gm 8-22-23",1
"Below Testing Cost Box: Check # 8690",1
"Big Horn County WY",1
"Both 'yes' and 'no' marked on part Z, 'no' appears scribbled over",1
"Brad and Cindy Cicci; livestock number is 6 horses; sample treated with nothing checked and none written; well depth 100 ft; on the back of the registration sheet under Full Domestic Analysis they wrote LANGLIER N/C per Shari.",1
"CC) 575 static K) Used Township, Section, Range",2
"CC) Client wrote 52' 79' on registration form and also put down not sure, not sure put into database.",1
"CC) DepthOfWell: ""160' Well, 115' Water"" written in blank",1
"CC) Note: Perforations from 28' to 38'",1
"CC) Note: Pretty deep",1
"CC) Note: Very Shallow",1
"CC) Note: deep",1
"CC) Noted: Error",1
"CC) Noted: Spring Box",1
"CC) Person wrote down a well depth, but commented ""but not sure"" on the side of the registration form. Therefore, data was entered in as ""not sure"" for the database.",1
"CC) Reservoir, but not specifically stated that the source is not a well",1
"CC) client thinks well may be 30 ft, but not sure, so put down ""not sure"" in database.",1
"CC) guessed 20 feet, but not sure",1
"CC) thinks 60 feet, but not sure",1
"CC) wrote 20-30 on the registration form",1
"CC) wrote: ""+100""",1
"CC) ~20'",1
"CC)Depth of well: wrote ""?"" in the blank; Testing Cost: No Data; Email from Julie Mueller: ""Client didn't pay. Energy labs told us not to release results""",1
"CM GLWQD listed under coordinates - Lasted tested with MSUEWQ in 2016",1
"CMV GLWQD. Last tested 2011.",1
"Can't make out email.",1
"Carbon + other treatment. 80-100 ft well.",1
"Cattle 40+",1
"Cistern",1
"Cistern rather than well",1
"Cistern; treated with ""filter hydroflow""",1
"City is likely absarokee in stillwater",1
"City water",2
"City water hauled to cistern.",1
"Client entered GWIC ID as 1dJdJAJ2 (also hard to read)",1
"Client wrote in ""actually, inside house water bad line from city value"" in physical address of well box",1
"Commercial land use",1
"Commercial land use. Question mark near age of well/home question.",1
"Coordinates corrected by IY",1
"Coordinates/legal description from well log. Will pump septic but it's new.",1
"Crossed out 'well' and wrote 'spring' on part E text
Wrote 'only arsenic, no copper' on individual parameters section (copper is marked)",1
"Crossed out some parameters in individual section; rewrote testing cost values; using new ones here",1
"Currently treat drinking water- no, soft water treatment not for drinking",1
"Currently using a sediment filter/descaling. Physical address of well coodrinates not close.",1
"D & E) No city noted on reg sheet",1
"D) ""Bottled water"" written next to ""No"".
CC) 212 feet written down on registration form, but not sure also selected, so Not Sure was put into the database.",1
"D) ""Same as B11050351-no bacti"" written where mailing address goes
E) ""Call for CC payment"" written where physical address goes",1
"D) MailCity: Wrote ""Victor"" as Mailing Address city on both other sheets from same exact street address",1
"DNRC 41I 30017189 K) Used Township, Section, Range",1
"Depth ""about 300ft""",1
"Depth 326ft",1
"Depth 43 ft.",1
"Depth of Well is 200 ft; static level of well is 130 ft",1
"Did not include a town for physical address of well.",1
"Did not provide completed legal descrip",1
"Difficult to tell which parameter packages the client chose.",1
"Do you currently treat your well water before drinking it? ""I don't drink it yet""",1
"Doesn't know if water is treated; Not owner, just renter."" Water smells awful""",1
"Don't drink it",1
"E) Also listed 203, 205, and 29 Kim Curry Rd, Ekalaka MT, 59324",1
"E) Also listed 9 O'Connor Rd, Powderville, MT 59345",1
"E) Listed email second time
Below testing cost box: 1 check for $270 included for both test packages",1
"E) Noted T+R: T27 R32 S23 NE1/4 NE1/4
F) Listed two numbers: Alt: 406-654-7803
FF) Noted: New system",1
"E) Noted Township + Range: 27N 32E 16 NE1/4
Copied Mailing data to physical data.",1
"E) Noted email second time
Below testing cost box: 1 Check included with second package #270-ck#13916",1
"E) Noted: 1/4 section 7 t, 12n, r56e
Filled physical location data with same as mailing data",1
"E) Noted: Creek not well
Used mailing address for physical address",2
"E) Physical Address of Well: ""see K below"" written in box and is referring to coordinates; Y) ""DON'T DRINK WELL H2O"" written next to checked ""No"" box; AA) MontanaWellTestProgramPreviously: ""Not sure"" written next to options",1
"E) PhysicalAddress: ""Before RO"" written in blank",1
"E) PhysicalStreet: ""use sample gm description as ID submitting 2 samples"" written in box",1
"E) PhysicalStreet: ""use sample gm description as ID submitting 2 samples"" written in box; EE) HouseOnSeptic: ""not yet new site"" written next to crossed out boxes and checked ""No"" box",1
"E) PhysicalStreet: No street address given",1
"EDD had helena written as city, krs kept what was written on reg sheet",1
"EE) ""Old system"" written next to question 22 ft well",1
"EE) ""it will be""",1
"EE) Client wrote ""was on septic until before 1980"" next to the checkboxes. 29 ft well",1
"EE) HouseOnSeptic: ""city waste water"" written in box",1
"EE) Noted: (1 week old)",1
"EE) Noted: in near future!",1
"Email: other email listed is ""kamakarnold@gmail.com""; HouseOnSeptic: ""not built yet"" is written in the box",1
"Entered ""Yes"" for MultSamples but nothing in HowMany
Wrote ""Z)AA Don't Know"" in box with parts Z and AA",1
"Entered ""Yes"" for MultSamples but nothing in HowMany
Wrote 'Not Sure' next to part BB",1
"Entered 7, 24, 20 for Town Range Section; well approx 300",1
"Expect 3 head in fall (horses).
New well, no house yet.
Will be on septic when built.",1
"F) Alternate Number Provided:209-327-1089
L) Noted: well report",1
"F) Cell: 406-945-2539   Home: 336-2539 127 ft well",1
"F) Multiple Numbers Listed: alt: 406-755-4476
H) Multiple Emails Listed: alt: evans.bobjr@gmail.com",1
"F) No phone number listed
M - FF) Big X drawn over everything",1
"F) Noted: Colleen
Y) Noted: Water softener broke down 5/24. no current treatment
AA) Noted: 2008",1
"F) Other phone number: 406-580-3915",1
"F) Phone number only has 406-",1
"F) PhoneNumber: ""2481031"" also written in the blank",1
"F) PhoneNumber: ""307-254-0536"" also listed as a phone number",1
"F) phone number(s): 406-781-0976 or 406-788-8458",1
"F) phone number: 406-259-9666 Ext. 230
H) email address is not correct
Q) Other: business",1
"FF) Multiple Options Selected: Yes, No Septic",1
"FF) New written on registation form, may be indication septic system is new.",1
"FF) No, new house",1
"FF) Note: New House",1
"FF) Noted: new",1
"FF) SepticEverPumped: ""new house"" written in the box",1
"FF) SepticEverPumped: ""only owned 2 years"" written under question",1
"FF) note: ""will be done again in July 2020""",2
"FF) septic system new",1
"FF)New Septic",1
"Farm and Livestock underlined in land use section. Also says ""well at base of farmland and livestock re-sealed 2015""",1
"Farm house on property",1
"Fishery",1
"For First Name they wrote Francis Guy. For the year previously tested with Well Ed they wrote 2019.",1
"For aware of any inactive wells and are they properly sealed they wrote No Wells, for use water form this well as primary drinking source they wrote Not Using; big horn county WY",1
"For classify the area your property is in they wrote 1 mile out of Bozeman city limits, for predominant  land use they wrote directly adjacent property is weed-free hay (sprayed with herbicide), for property size they wrote 1.03 acres, for the year they t",1
"For depth of well they checked not sure and also wrote 60? Ft; township 02N section 34 range 05E",1
"For email address they wrote N/A; physical address of well written as Erickson Place 59036, so information missing; primary use for well household, livestock, and other checked",1
"For email address they wrote none.",1
"For email they wrote N/A; well depth 26 ft",1
"For land use they wrote Community garden #6 faucet, and they circled the garden water part for primary use of well. 27ft well depth",1
"For livestock number they wrote depends on time of year",1
"For livestock there is 9 head. For the year they previously tested with MT Well Educated they wrote 2015; sample untrated and do not have treatment system checked; well depth 202 ft",1
"For location of well they wrote 1 mile East of Standford, MT. Next to Currently treat water before drinking they wrote N/A- Stream for livestock. They wrote N/A next to age of well, depth of well, household on septic, and septic ever been pumped.",1
"For method used to find lat and long they wrote Google Maps. For number of livestock they wrote varies; 68 ft well depth",1
"For number of livestock they wrote none currently.  Next to household on septic system they wrote Not Built Yet. 1210 ft well depth",1
"For predominant land use next to other they wrote Cabin; no county on reg sheet",1
"For predominant land use next to other they wrote Fair Grounds.",1
"For predominant land use they wrote Wanting it for use for a house. For livestock number they wrote 3 horses. For the question do you use water from this well as primary drinking source they wrote That is what we are Testing for. NOT in use now.",1
"For predominant land use they wrote Wooded; township 6N section 21 range 21W; 80 ft well depth",1
"For primary use for well they crossed out Household for Household and garden water and check other and wrote lawn next to it. On the back next to Classification of Water for Irrigation they wrote No charge per Darcy L.C. 7/29/2020.",1
"For primary use of well they checked Household, Livestock and other; well depth 90 ft",1
"For septic ever been pumped No and No septic are both checked and they wrote Yet next to No septic; Sec 9 T09S R21E TR2 COS 935; ~40-50 ft well depth",1
"For tested previously with Well Ed they put 2018 for the year.",1
"For the Montana Well test program perviously they put 2018 for the year; 240 ft well depth",1
"For the email line they wrote N/A, they did not include a city for physical address. Primary use for well checked household, livestock, and other",1
"For the mailing address they did not incude a zipcode or data and for physical address they did not include city, state, or zipcode. Next to other on predominant land use they wrote Cabin.",1
"For the tested this well in the MT Well Educatd program they put the year 2020; location of well not changed from minutes on reg sheet, rb adjusted 10-12-2021; 40-50 ft well depth",1
"For the year for tested previously with Well Ed they wrote 2020.",1
"For the year for tested with Well Ed Before they wrote 2013-2019; township 45 section 34 range 1W; 102 ft well depth",1
"For the year previously tested with Well Ed they wrote 2010. township 8S section 2 range 51E; 180 ft well depth",1
"For the year they had tested this well in the MT Well Educated program they put 2018. 240 ft well depth",1
"For the year they have perviously tested with MT Well Educated program they put 2017. 220 ft well depth",1
"For the year they previously tested with MT Well Educated program they wrote 2019, at the bottom of the page by septic pumped they wrote 5/11/2020; 90 ft well depth",1
"Fridge filter drinking only. Thinks well is 60'",1
"G) Spring
AA) ?",1
"GLWQD",1
"GLWQD for coordinates - last tested with MSU in 2010",1
"GPS Data Updated by MSU employee; ""home built in 1975""",1
"GPS Data updated by MSU employee; ""20 chickens on property"" did not count as livestock;depth estimated ""20ft""; pervious well ed testing year not specified",1
"GPS Data updated by MSU employee; depth ""1mile?""  seems inaccurate",1
"GPS Data updated by MSU employee; depth 290ft; county on reg sheet is incorrect",1
"GPS data upated by MSU Employee; water treated before drinking , both ""yes and no"" checked ""not used for drinking",1
"GPS data updated by MSU employee",2
"GPS data updated by MSU employee;",1
"GPS data updated by MSU employee; 60ft;",1
"GPS data updated by MSU employee; depth 15-20ft avg17.5ft.; GeoCode for well location "" 03-1033-13-2-20-13-0000""",1
"GPS data updated by MSU employee; depth 280ft",1
"GPS data updated by MSU employee; depth 340ft;",1
"GPS data updated by MSU employee; depth 35-40ft, 37.5ft avg; participant unable to find GWIC ID",2
"GPS data updated by MSU employee; depth about 22ft",1
"GPS data updated by MSU employee; land use ""wildlife habitat""; depth 174ft",1
"GPS data updated by MSU employee; livestock on property 3 months of year; depth 30ft",1
"GPS data updated by MSU employee; twp data T18N R20E S36; depth 200ft",1
"GPS data updated by MSU employee;150 cows 40 goats; depth 80ft",1
"GPS method ""geo method""; land use ""manufacturing""; depth 90ft",1
"GWIC "" M141227"" incorrect; GPS data updated by MSU employee; depth 32ft.",1
"GWIC ID 41Q613P7-00",1
"GWIC ID written as TBALZER, no numbers included, so left blank in the database.
K) has an N written next to latitude and a W written next to longitude.
R) livestock written as ""None"".",1
"GWIC ID written as TBALZER, no numbers included, so left blank in the database.
R) livestock written as ""None"".",1
"GWIC ID written as TBALZER, no numbers included, so left blank in the database.
R) livestock written as ""None"".
CC) A number is given but a question mark was written next to the number. The ""Not sure"" box was checked as well, so ""Not sure"" was entered i",1
"GWIC ID written as pr2548; livestock 5 horses",1
"GWIC ID: 4069394116",1
"GWIC section checked no and ""don't care"" written; livestock number has lease pasture so varies written",1
"GWIC_ID: ""05-1784-12-3-01-15-mooo"" written in blank",1
"GWIC_ID: ""7GL"" written before numbers",1
"Got coordinates from NASA website. Last tested 2011.",1
"Got legal description from well log",1
"Group home",1
"Guessing 10-15 ft well depth",1
"H) Email could contain an underscore in place of the '.'",1
"H) Email: ""N/A"" written in blank; S/T) ""N/A"" written in box; BB) ""N/A"" written in box; DD) ""N/A"" written in box; EE/FF) ""N/A"" written in box; R) LivestockNumber: ""None"" written in blank",1
"H) Email: ""N/A"" written in blank; S/T) ""N/A"" written in box; BB) ""N/A"" written in box; DD) ""N/A"" written in box; EE/FF) ""N/A"" written in box; R) LivestockNumber: ""Will be approx 20 - None @ this time"" written in blank",1
"H) Email: ""Please email results if possible"" written in box
Q) LandUse: ""grassland"" written next to checked ""Other"" box",2
"H) Email: ""rnemec@mt.gov"" also listed in blank",1
"H) EmailAddress: ""ligia.arango@mt.gov"" also listed - ""please email results to housing inspector"" written in the margin",1
"H) EmailAddress: ""ligia.arango@mt.gov"" is another email listed for the ""inspec agent""",1
"H) EmailAddress: email was very hard to read",1
"H) No email listed",3
"H) No email provided",1
"H) pd81962@gmail.com",1
"H)Email: ""no computer"" written in blank",1
"Had a sticky note saying ""Waiting on release from Energy, have not received $ yet""",1
"Hand dug well",1
"Hard to read email",1
"Hard to read email 22 ft well",1
"Hard to read sample description
Hard to read email
Q) Other: School",1
"Has Sr. in the front of their name, the mailing address does not include a city, they wrote 0 with a cross through it and 490-1558 in the email line, possible alternate phone; county has two entries on reg sheet butte and silver bow; 75 ft well depth",1
"Has chickens",2
"Have horses",1
"Home was purchased 1-13-2020 and was vacant for 1 year before purchase",1
"Horses",1
"House as built in 1976.",1
"House biult around early 1980's
Septic pumped, but not recently",1
"House parcel is 10-50 acres; Ranch is 50-250. Last tested 2012.",1
"Household use",1
"Houseonseptic selected yes, no, and I don’t know",1
"I) Noted: Yes
J) Noted: Yes",1
"I) Share_County: ""No"" box also checked
P) PropertySize: ""1-10 acres"" box also checked",1
"I-L) Noted: ?
H) No Email Listed",1
"In Physical Address of Well Box ""Section 21 9N-60E (Dobs)"" is written",1
"In location of well they wrote DNRC 40P 5556 00. At the top of the page they wrote 800-735-4489.  Next to septic system ever been pumped they wrote (New System). For the year previously tested with Well Ed they wrote 2019. township 25N section 27 range 52",1
"In method used to find latitutde and longitude they wrote my land DESC, next to livestock they wrote sheep and lambs, next to currently treating drinking water they wrote water softening R.O. For drinking only. Next to Familiarity with function they wrote",1
"In physical address of well they wrote Well S. Next to number of livestock they wrote Head. On the top they wrote Callie talk to Adam",1
"In physical address they also wrote cottage kitchen, and next to depth of well they wrote spring. Township 4N section 27 range21W parcel B2",1
"In physical address they wrote Well C. Next to number of livestock they wrote Head. On the top they wrote Callie talk to Adam.",1
"In physical address they wrote Well H. Next to number of livestock they wrote Head. On the top they wrote Callie talked to Adam.",1
"In physical address they wrote Well R. Next to number of livestock they wrote Head. On the top they wrote Callie talked to Adam.",1
"In the location of well they wrote web soil survey, in predominant use of property they wrote Conservation Programs, for primary drinking source they checked no and wrote waiting for test results, for currently treat water before drinking they wrote waiti",1
"In the mailing address they wrote Rebecca Burt.",1
"In the margin, wrote ""House isn't built yet (ie no plumbing); using new travel trailer tank after test results rcv'd""; H) Email: another email address listed - ""nehenning@hotmail.com""; BB) AgeOfHome: wrote in margins ""completed 1/2012; but first pump inst",1
"Incomplete T, S, R (11N, 32, 2W). 565 ft well.",1
"Incomplete T, S, R (15, 10, 7E)",1
"Incomplete coordinates and TSR.  RO treatment. 26 ft well.",1
"Individiual tested their well with MSUEWQ in 2021, but the test was invalid due to time length between sample and testing. Individual answered ""Spring"" for BB.",1
"Individual ""bought house in 20201"".",1
"Individual ""just bought property""",1
"Individual added ""Exit:709) for F.",1
"Individual alo wrote ""431-9093"" for F.",1
"Individual also predminantly uses their land as forest land.",1
"Individual also treated their sample with Carbon and ""filtration"" (Other).",1
"Individual also treated their sample with RO",1
"Individual also treated their sample with UV.",1
"Individual also treated their sample with a ""sand filter"".",1
"Individual also treated their sample with a coarse sediment filter. They treat their well water, before drinking, with a fridge filter. Individual thinks their well may be 60''. FF note: ""2 times in 18 years"".",1
"Individual also treated their sample with carbon.",2
"Individual also treated their sample with particulates and RO. Individual tested their well with MSUEWQ in 2021.",1
