"Note_DataEntryIssues","n"
"SampleDescription unreadable because of handwriting,
Mailing Address very hard to read because of handwriting,
PhoneNumber very hard to read because of handwriting
GWIC_ID very hard to read because of handwriting",1
"Second page is missing",1
"Second sheet not attatched",1
"Section R) has written down ""rotating 25 head"", put into the database as ""25"".
No latitude or longitude, but Township (36), Section (3N), and Range (29) are included on the data sheet.",1
"Selected two treatment methods.",1
"Selected two water treatments",1
"T) Selected both 'yes' and 'not sure'",1
"They checked both sub-urban and rural for the land class to indicate in between the two categories, entered no data",1
"This reg sheet has nothing entered on it; the pdf comes with two reg sheets; the other tracking id has infomration entered.",1
"Tracking numbers were mistped as '2201551' rather than '2201511'- resolved issue,",1
"Two boxes are marked for whether sample was treated;  sample treatment method is given so assming that the intended entry was 'treated'",1
"Two boxes marked for 'inactive wells sealed'",1
"Two water treatments selected (water softener and iron filter). 
'<2' written for livestock number.",1
"U) Client wrote (+ cattle) next to the Household and Garder Water option on the registration form, put into the database as ""household and livestock"".",1
"U) Selected 'household' and 'other'. Did not specify 'other' use",1
"Uncertain about phone #",1
"Unclear number of livestock, either 8 or 9",1
"Under is the inactives sealed they checked yes and not applicable, put not applicable",1
"Unreadable email",1
"Very hard time reading email address, left email spot blank in the database.",1
"Very hard to read sample description H) Unreadable email address",1
"W) Selected both 'sample is untreated' and 'sample is treated'",2
"Well Depth was ansered with at '?' in blank space as opposed to checking 'not sure'",1
"Well Location different than address provided",1
"Well and Address Don't Match",1
"Well owner's provided coordinates are in a different town",1
"Writing hard to read",1
"Wrote 125 under 'total cost' only marked full domestic analysis so assuming this is without admin fee",1
"Zip code 03840, the database keeps getting rid of the first 0.",1
"bacteria result for tracknum1 and tracknum2 was blank",1
"cannot read township, section, and range details",1
"coordinate are not complete",1
"coordinate check is not complete",1
"coordinate check not complete",1
"coordinates are incomplete",2
"coordinates are likely incorrect, not including krs",1
"coordinates are not complete",2
"coordinates listed are not in MT, left blank",1
"cost of analysis/type of analysis is unknown",1
"could not convert coordinates of well",1
"county discrepency",1
"did not provide full T,S,R",1
"email a bit unclear",1
"email a little hard to read.",2
"email address uncertain",1
"email address: written as dickNLori@charter.net on the Registration Form, email may or may not be case sensitive, could possibly be dicknlori@charter.net",1
"email hard to read, copied into database to best ability.",1
"email may be incorrect, copied down what was written, email may actually be daviesp@gmail.com",1
"hard to read email, copied down in the database to best ability.",1
"hard to tell if well depth is 21.85 or 2185",1
"has second page but says payment is on B21102191",1
"land class sub-urban and rural both checked",1
"lat/long coordinates not usable",1
"livestock number hard to read, looks like 75h or 75 w",1
"mailing address and physical address written strangely and not all information included",1
"marked both 'yes' and 'no' on part J
Wrote '300 ft approx' for part CC",1
"marked yes for septic, but put no septic for septic pump question",1
"missing page two",1
"no suffix on address",1
"participant wrote incorrect county, should be custer not fallon, entered custer",1
"pdf has two reg sheets and I can't see any indication of which cost sheet goes to which tracking number.  One of the sheets has no cost written but 'full domestic analysis' is still marked",1
"physical address of well is a PO Box, which seems incorrect",1
"testing cost is wrong on sheet",1
"two prices on reg sheet. Participant entered 105 and 5 testing cost and next to it energy wrote 75 and 5 with date 4/21/2020. enerted energy's total",1
"unable to read number of livestock, possibly 6 or 8 livestock head",1
"unsure how to convert these coordinates, left blank- ns and ks",1
"very hard to read paper damaged",1
